01;Mexikói cheddar sajtkrémleves sajtos pizzafedővel;1390;Levesek
02;Házi tyúkhúsleves gazdagon;1390;Levesek
03;Jókai bableves kemencés pitával;1490;Levesek
04;Vargányás burgonyakrémleves kolbászmorzsával;1290;Levesek
05;Fokhagymakrémleves sajtos pizzafedővel;1290;Levesek
06;Házi gnocchi, gorgonzolás sajtmártás, szűzpecsenye-csíkok;2990;Tészták
07;Mustáros-tejszínes házi pappardelle;3290;Tészták
08;Garnélarákos spagetti;3290;Tészták
09;Gnocchi padrone;2990;Tészták
010;Bolognai spagetti;2490;Tészták
011;Tejszínes-lazacos pappardelle;3290;Tészták
012;Rántott sajt, hasábburgonya, tartármártás +0,33l dobozos üdítő vagy 0,5l ásványvíz;2390;Menük
013;Bécsi szelet menü (bécsi sertésszelet, hasábburgonya) +0,33l dobozos üdítő vagy 0,5l ásványvíz;2390;Menük
014;Dobos Fitness menü (grillezett csirkemell, friss saláta, házi vinaigrette)+0,33l dobozos üdítő vagy 0,5l ásványvíz;2390;Menük
015;Rántott csirkemell fokhagymás tejföllel és sajttal sütve jázmin rizzsel +0,33l dobozos üdítő vagy 0,5l ásványvíz;2590;Menük
016;Csirkerög menü (rántott csirkerögök, hasábburgonya, remoulade-mártás) +0,33l dobozos üdítő vagy 0,5l ásványvíz;2390;Menük
017;Cigánypecsenye menü (fokhagymás sertéstarja, steakburgonya, rántott hagymakarikák) +0,33l dobozos üdítő vagy 0,5l ásványvíz;2390;Menük
018;Rántott csirkemell szezámmagos bundában jázmin rizzsel +0,33l dobozos üdítő vagy 0,5l ásványvíz;2390;Menük
019;Pizza Vega (aszalt paradicsom, friss gomba, mozzarella, bazsalikom);2550;Pizzák
020;Margarita Original (mozzarella, paradicsomkarika, bazsalikom);2350;Pizzák
021;Miss Röfi (sonka, mozzarella);2350;Pizzák
022;Szalámis (szalámi, mozzarella);2350;Pizzák
023;Kukorica János (sonka, kukorica, mozzarella);2480;Pizzák
024;Pizza Con Fegato (csirkemáj, bacon, lilahagyma, mozzarella);2610;Pizzák
025;BBQ (barbecue, tarja, hagyma, bacon, paradicsom, mozzarella);2770;Pizzák
026;Sós karamellás panna cotta, céklás morzsa;1090;Desszertek
027;Túrós palacsinta vaníliasodóval (2 db);890;Desszertek
028;Mogyorókrémes palacsinta (2 db);890;Desszertek
029;Áfonyás vagy kakaós palacsinta (2 db);690;Desszertek
030;Somlói - ahogy Séfünk készíti;890;Desszertek
031;Chilis belga csokis sajttorta, áfonyalekvár;1090;Desszertek
032;Epres sajttorta;790;Desszertek
033;Gluténmentes spenótfőzelék;2500;Főételek
034;Margarita csirkemell paradicsommal és mozzarella sajttal grillezett csirkemell, jázmin rizs;2950;Főételek
035;Bolognai spagetti rántott csirkemell (1db), mozzarella;3250;Főételek
036;Winnetou lakomája sajttal, juhtúróval és snidlinggel töltött csirkemell rántva, burgonyatallér;3650;Főételek
037;Konfitált sertéstarja parázsburgonya, chimichurri;3250;Főételek
038;Rozmaringos, kreol zöldséges sertésszűz sült édesburgonya, chimichurri;3690;Főételek
039;Lime-os vajban sült jércemell (cheddar sajttal tortillában sütve friss salátaágyon, juhtúrós-snidlinges mártogatós);3650;Főételek
040;Fish & Chips (gránátos halfilé panko morzsában, bisztróburgonya, friss saláta, tökmagmajonéz);3650;Főételek
041;Panko morzsában rántott camembert sajt jázmin rizs, áfonyalekvár;2790;Főételek
042;Borjú bécsi panko morzsában borjúhátszínből, fokhagymás-tejfölös római saláta, pirított sonka;4450;Főételek
043;Dobos Classic Burger (grillezett marhahúspogácsa, római saláta, lilahagymalekvár, paradicsom, házi szósz);2190;Hamburgerek
044;Cheese Burger (grillezett marhahúspogácsa, cheddar sajt,római saláta,lilahagymalekvár, paradicsom, házi szósz);2590;Hamburgerek
045;Double Burger (dupla grillezett marhahúspogácsa,római saláta,lilahagymalekvár, paradicsom, házi szósz);3090;Hamburgerek
046;Chicken Burger (panko morzsában sült csirkemell, római saláta, paradicsom, marinált lilahagyma, cheddar sajtszósz);2590;Hamburgerek
